Id,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,defense,experience_growth,height_m,hp,percentage_male,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,type_legend
1,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,49,5120,70,318,45,49,1059860,0.7,45,88.1,65,65,45,grass,poison,6.9,1,0,normal
2,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,62,5120,70,405,45,63,1059860,1,60,88.1,80,80,60,grass,poison,13,1,0,normal
3,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,100,5120,70,625,45,123,1059860,2,80,88.1,122,120,80,grass,poison,100,1,0,normal
4,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,5120,70,309,45,43,1059860,0.6,39,88.1,60,50,65,fire,,8.5,1,0,normal
5,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,5120,70,405,45,58,1059860,1.1,58,88.1,80,65,80,fire,,19,1,0,normal
6,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,104,5120,70,634,45,78,1059860,1.7,78,88.1,159,115,100,fire,flying,90.5,1,0,normal
7,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,48,5120,70,314,45,65,1059860,0.5,44,88.1,50,64,43,water,,9,1,0,normal
8,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,63,5120,70,405,45,80,1059860,1,59,88.1,65,80,58,water,,22.5,1,0,normal
9,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,103,5120,70,630,45,120,1059860,1.6,79,88.1,135,115,78,water,,85.5,1,0,normal
10,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,30,3840,70,195,255,35,1000000,0.3,45,50,20,20,45,bug,,2.9,1,0,normal
11,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,20,3840,70,205,120,55,1000000,0.7,50,50,25,25,30,bug,,9.9,1,0,normal
